"","IDsin","codeplot","ADJ","TILE","X_sin","Y_sin","X_wgs","Ywgs","ID","alti","grad","NDVImin","NDVImax"
"1074",13456223,"VTS_1455","YES","h18v04",422194,4910304,5.29251,44.15937,"h18v04_13456223",1455,"VTS",0.241,0.585
"1075",13441828,"VTS_1645","YES","h18v04",423352,4910999,5.3076,44.16562,"h18v04_13441828",1645,"VTS",0.166,0.491
"1076",9170267,"ANT_1400","YES","h18v04",525049,5117173,6.79984,46.01979,"h18v04_9170267",1400,"ANT",0.124,0.88
"1077",9175068,"ANT_1610","YES","h18v04",525281,5116941,6.80258,46.01771,"h18v04_9175068",1610,"ANT",0.097,0.88
"1078",9184668,"ANT_1750","YES","h18v04",525281,5116478,6.80207,46.01354,"h18v04_9184668",1750,"ANT",0,0.894
"1079",9194269,"ANT_2040","YES","h18v04",525512,5116015,6.80456,46.00937,"h18v04_9194269",2040,"ANT",0,0.791
"1081",9218274,"ANT_2370","YES","h18v04",526671,5114857,6.81827,45.99896,"h18v04_9218274",2370,"ANT",0,0.522
"1085",9247119,"ARG_2000","YES","h18v04",537095,5113467,6.95166,45.98646,"h18v04_9247119",2000,"ARG",0,0.756
"1086",9251922,"ARG_2230","YES","h18v04",537790,5113235,6.96039,45.98437,"h18v04_9251922",2230,"ARG",0,0.665
"1088",10082090,"ARM_1520","YES","h18v04",484046,5073158,6.2244,45.62396,"h18v04_10082090",1520,"ARM",0.005,0.772
"1091",10072495,"ARM_2140","YES","h18v04",485204,5073622,6.23976,45.62812,"h18v04_10072495",2140,"ARM",0.001,0.667
"1092",13091959,"BON_1900","YES","h18v04",546362,4927910,6.86751,44.31771,"h18v04_13091959",1900,"BON",0.001,0.803
"1093",13072751,"BON_2100","YES","h18v04",544508,4928837,6.84518,44.32604,"h18v04_13072751",2100,"BON",0.001,0.801
"1094",13072748,"BON_2140","YES","h18v04",543813,4928837,6.83645,44.32604,"h18v04_13072748",2140,"BON",0.001,0.811
"1095",13077544,"BON_2300","YES","h18v04",542887,4928605,6.82456,44.32396,"h18v04_13077544",2300,"BON",0,0.398
"1097",13072739,"BON_2650","YES","h18v04",541728,4928837,6.81024,44.32604,"h18v04_13072739",2650,"BON",0,0.457
"1098",10739663,"BOU_1240","YES","h18v04",477791,5041421,6.11292,45.33854,"h18v04_10739663",1240,"BOU",0.463,0.901
"1099",10754063,"BOU_1440","YES","h18v04",477791,5040727,6.11225,45.33229,"h18v04_10754063",1440,"BOU",0.431,0.872
"1100",10773263,"BOU_1620","YES","h18v04",477791,5039800,6.11135,45.32396,"h18v04_10773263",1620,"BOU",0.268,0.873
"1101",10787665,"BOU_1830","YES","h18v04",478255,5039105,6.1166,45.31771,"h18v04_10787665",1830,"BOU",0,0.855
"1102",10792466,"BOU_2000","YES","h18v04",478486,5038873,6.11934,45.31562,"h18v04_10792466",2000,"BOU",0,0.848
"1103",11781499,"CER_2050","YES","h18v04",532462,4991152,6.75864,44.88646,"h18v04_11781499",2050,"CER",0,0.541
"1104",11800699,"CER_1860","YES","h18v04",532462,4990225,6.75766,44.87812,"h18v04_11800699",1860,"CER",0,0.706
"1105",11791098,"CER_1980","YES","h18v04",532230,4990689,6.75521,44.88229,"h18v04_11791098",1980,"CER",0.002,0.597
"1106",11771898,"CER_2200","YES","h18v04",532230,4991615,6.75619,44.89062,"h18v04_11771898",2200,"CER",0,0.464
"1107",11762297,"CER_2280","YES","h18v04",531999,4992079,6.75374,44.89479,"h18v04_11762297",2280,"CER",0,0.493
"1108",11752697,"CER_2300","YES","h18v04",531999,4992542,6.75423,44.89896,"h18v04_11752697",2300,"CER",0,0.465
"1109",11349187,"CHAM_1250","YES","h18v04",460185,5012001,5.86035,45.07396,"h18v04_11349187",1250,"CHAM",0.433,0.844
"1110",11315588,"CHAM_1470","YES","h18v04",460417,5013623,5.8648,45.08854,"h18v04_11315588",1470,"CHAM",0.562,0.858
"1111",11277197,"CHAM_1710","YES","h18v04",462502,5015476,5.89308,45.10521,"h18v04_11277197",1710,"CHAM",0.242,0.765
"1112",11272400,"CHAM_1890","YES","h18v04",463197,5015708,5.90215,45.10729,"h18v04_11272400",1890,"CHAM",0.125,0.661
"1113",11253202,"CHAM_2020","YES","h18v04",463660,5016634,5.90891,45.11562,"h18v04_11253202",2020,"CHAM",0.026,0.626
"1114",11238805,"CHAM_2180","YES","h18v04",464355,5017329,5.91842,45.12187,"h18v04_11238805",2180,"CHAM",0.009,0.563
"1115",12309229,"DEV_1500","YES","h18v04",469915,4965670,5.9411,44.65729,"h18v04_12309229",1500,"DEV",0.349,0.807
"1116",12328429,"DEV_1720","YES","h18v04",469915,4964743,5.94024,44.64896,"h18v04_12328429",1720,"DEV",0.004,0.709
"1117",12338028,"DEV_1870","YES","h18v04",469683,4964280,5.93689,44.64479,"h18v04_12338028",1870,"DEV",0,0.61
"1119",12357222,"DEV_2340","YES","h18v04",468293,4963353,5.91847,44.63646,"h18v04_12357222",2340,"DEV",0,0.273
"1120",12371623,"DEV_2545","YES","h18v04",468525,4962658,5.92076,44.63021,"h18v04_12371623",2545,"DEV",0,0.206
"1121",12381228,"DEV_2670","YES","h18v04",469683,4962195,5.93497,44.62604,"h18v04_12381228",2670,"DEV",0.002,0.215
"1122",11426179,"LAU_1920","YES","h18v04",504663,5008295,6.42302,45.04062,"h18v04_11426179",1920,"LAU",0,0.691
"1123",11416574,"LAU_2100","YES","h18v04",503505,5008758,6.40875,45.04479,"h18v04_11416574",2100,"LAU",0,0.817
"1124",11402174,"LAU_2300","YES","h18v04",503505,5009453,6.40945,45.05104,"h18v04_11402174",2300,"LAU",0,0.637
"1125",11392572,"LAU_2470","YES","h18v04",503042,5009916,6.40402,45.05521,"h18v04_11392572",2470,"LAU",0,0.527
"1126",11382969,"LAU_2700","YES","h18v04",502347,5010380,6.39564,45.05937,"h18v04_11382969",2700,"LAU",0,0.243
"1127",9146309,"LORI_1370","YES","h18v04",534779,5118331,6.92715,46.03021,"h18v04_9146309",1370,"LORI",0.228,0.781
"1128",9141508,"LORI_1620","YES","h18v04",534547,5118563,6.92441,46.03229,"h18v04_9141508",1620,"LORI",0.305,0.812
"1129",9131907,"LORI_1800","YES","h18v04",534315,5119026,6.92193,46.03646,"h18v04_9131907",1800,"LORI",0.144,0.822
"1131",9117506,"LORI_2130","YES","h18v04",534084,5119721,6.91971,46.04271,"h18v04_9117506",2130,"LORI",0,0.795
"1132",9112705,"LORI_2330","YES","h18v04",533852,5119953,6.91697,46.04479,"h18v04_9112705",2330,"LORI",0,0.673
"1134",10130327,"MER_1820","YES","h18v04",538949,5070842,6.92782,45.60312,"h18v04_10130327",1820,"MER",0.019,0.831
"1135",10139929,"MER_2000","YES","h18v04",539412,5070379,6.93327,45.59896,"h18v04_10139929",2000,"MER",0,0.878
"1137",10135143,"MER_2400","YES","h18v04",542655,5070610,6.97521,45.60104,"h18v04_10135143",2400,"MER",0,0.625
"1138",10130346,"MER_2670","YES","h18v04",543350,5070842,6.9844,45.60312,"h18v04_10130346",2670,"MER",0,0.354
"1139",10120747,"MER_2850","YES","h18v04",543582,5071305,6.9879,45.60729,"h18v04_10120747",2850,"MER",0,0.214
"1140",12419621,"MON_1500","YES","h18v04",468062,4960342,5.91278,44.60937,"h18v04_12419621",1500,"MON",0.198,0.71
