"","id_sample","ab","mass","q0","q1","q2","Body_length"
"185","ANI-21-0886",3,1.212,1,1,1,NA
"186","ANI-21-0908",22,2.264,1,1,1,NA
"187","ANI-21-0963",9,1.041,3,2.08677944009772,1.68421052631579,5.47925170068027
"188","ANI-22-0148",7,NA,NA,NA,NA,NA
"189","ANI-22-0258",11,NA,2,1.38414548846169,1.21951219512195,16.2124285714286
"190","ANI-21-0557",3,1.013,1,1,1,7.58333333333333
"191","ANI-21-0568",10,1.515,1,1,1,NA
"192","ANI-21-0601",16,NA,2,1.27753191707406,1.14213197969543,NA
"193","ANI-21-0612",12,3.975,4,3.19704052173111,2.81395348837209,18.3911688311688
"194","ANI-21-0623",4,1.312,1,1,1,12.645
"195","ANI-21-0634",13,5.754,1,1,1,31
"196","ANI-21-0689",2,1.005,1,1,1,6.25
"197","ANI-21-0722",2,1.011,1,1,1,7.16666666666667
"198","ANI-21-0744",4,1.078,1,1,1,NA
"199","ANI-21-0755",10,1.55,3,2.62469033904626,2.45454545454545,12.738
"200","ANI-21-0766",4,1.736,2,1.88988157484231,1.8,16.4166666666667
"201","ANI-21-0777",22,3.101,4,3.26194591554702,2.77358490566038,15.8928571428571
"202","ANI-21-0799",6,1.553,3,2.87174588749259,2.77777777777778,13.7766666666667
"203","ANI-21-0810",3,NA,NA,NA,NA,NA
"204","ANI-21-0843",3,1.985,1,1,1,23.75
"205","ANI-21-0854",2,1.107,1,1,1,15
"206","ANI-21-0909",14,1.415,3,2.20398694527043,1.85714285714286,9.60416666666667
"207","ANI-21-0920",2,1.06,1,1,1,NA
"208","ANI-21-0975",3,1.079,2,2,2,11.0277777777778
"209","ANI-22-0006",7,NA,2,1.75476535060332,1.6,23.75
"210","ANI-22-0182",12,NA,NA,NA,NA,NA
"211","ANI-21-0547",2,NA,1,1,1,31
"212","ANI-21-0558",2,1.087,1,1,1,NA
"213","ANI-21-0580",2,1.032,1,1,1,NA
"214","ANI-21-0800",2,NA,NA,NA,NA,NA
"215","ANI-21-0822",2,NA,1,1,1,NA
"216","ANI-21-0965",2,NA,NA,NA,NA,NA
"217","ANI-22-0153",2,1.02094,1,1,1,7.05555555555556
"218","ANI-21-0573",2,NA,1,1,1,NA
