"","Date","idplot","TG1","TG4","DSN_T_ISBA"
"8614","2021-07-01",204,286.232635049536,286.346929602335,0
"8615","2021-07-02",204,286.263778258337,287.041833274921,0
"8616","2021-07-03",204,285.318897917403,286.364328259065,0
"8617","2021-07-04",204,285.172827111099,285.846075178591,0
"8618","2021-07-05",204,286.115165972446,287.765943187585,0
"8619","2021-07-06",204,281.71214894407,283.20926830126,0
"8620","2021-07-07",204,279.094049029484,281.035576060325,0
"8621","2021-07-08",204,281.174540860934,281.902079505982,0
"8622","2021-07-09",204,285.381599535667,285.779323115466,0
"8623","2021-07-10",204,284.95270468259,285.809072565664,0
"8624","2021-07-11",204,285.235432219726,287.104497865458,0
"8625","2021-07-12",204,277.329291502874,279.970343342197,0
"8626","2021-07-13",204,279.397931875578,280.50810781444,0
"8627","2021-07-14",204,279.853090458994,280.999023427347,0
"8628","2021-07-15",204,282.255552581044,283.140118022525,0
"8629","2021-07-16",204,283.861260307814,284.634699213428,0
"8630","2021-07-17",204,284.782028596244,285.853492583903,0
"8631","2021-07-18",204,286.280590363821,286.797123537584,0
"8632","2021-07-19",204,287.88426499964,288.485645011395,0
"8633","2021-07-20",204,285.441029385338,286.381090187831,0
"8634","2021-07-21",204,288.78114537488,289.265001707537,0
"8635","2021-07-22",204,288.524108529923,290.051431357045,0
"8636","2021-07-23",204,285.239749888173,287.701955457631,0
"8637","2021-07-24",204,283.208624760763,285.2822318569,0
"8638","2021-07-25",204,282.535174432061,284.376497677311,0
"8639","2021-07-26",204,283.767911024066,284.525923559812,0
"8640","2021-07-27",204,283.916885113845,285.377872057987,0
"8641","2021-07-28",204,285.957414568012,286.499412401277,0
"8642","2021-07-29",204,287.149194008501,288.069660735637,0
"8643","2021-07-30",204,283.272943222411,285.171349660168,0
"8644","2021-07-31",204,278.599825747841,280.693155461456,0
"8645","2021-08-01",186,280.903254525699,283.012821824373,0
"8646","2021-08-02",186,284.611510876374,285.73632826401,0
"8647","2021-08-03",186,285.704626800284,287.05994832675,0
"8648","2021-08-04",186,282.088468274011,283.753172885393,0
"8649","2021-08-05",186,285.858865496103,286.809094817411,0
"8650","2021-08-06",186,285.814419501738,286.942323062999,0
"8651","2021-08-07",186,282.9700641837,284.781621080876,0
"8652","2021-08-08",186,284.285247773286,285.573819637327,0
"8653","2021-08-09",186,286.297754506704,287.545303105225,0
"8654","2021-08-10",186,287.924085295142,289.010157688647,0
"8655","2021-08-11",186,289.249040574488,290.567847823842,0
"8656","2021-08-12",186,290.091649046837,291.611587721755,0
"8657","2021-08-13",186,291.192854527558,292.940350805942,0
"8658","2021-08-14",186,290.505725798719,292.635794634766,0
"8659","2021-08-15",186,286.656832327982,289.339817852023,0
"8660","2021-08-16",186,283.795188119992,286.542285232832,0
"8661","2021-08-17",186,283.64515575036,286.333879019419,0
"8662","2021-08-18",186,284.372839734681,286.905556934968,0
"8663","2021-08-19",186,285.548189083799,287.806655871931,0
"8664","2021-08-20",186,288.712164676247,290.321799636444,0
"8665","2021-08-21",186,288.119510082739,290.597441235807,0
"8666","2021-08-22",186,287.124222252214,289.179430522976,0
"8667","2021-08-23",186,285.013639103784,287.673358845588,0
"8668","2021-08-24",186,284.870262834738,287.190694743624,0
"8669","2021-08-25",186,284.202923599671,286.821872960102,0
"8670","2021-08-26",186,284.920340862899,287.805621811552,0
"8671","2021-08-27",186,283.911596262299,286.920974406822,0
"8672","2021-08-28",186,282.032907317623,285.773368156803,0
"8673","2021-08-29",186,282.686814536029,285.81481166307,0
"8674","2021-08-30",186,285.345133621656,287.932674612085,0
"8675","2021-08-31",186,285.843248345291,288.310035560536,0
"8676","2021-09-01",186,285.533331354168,287.422765909478,0
"8677","2021-09-02",186,283.842233089815,285.859557558121,0
"8678","2021-09-03",186,284.014471809772,285.521047346377,0
"8679","2021-09-04",186,284.333599979068,286.320279350483,0
"8680","2021-09-05",186,285.818817853689,287.46796533915,0
"8681","2021-09-06",186,286.206015593934,288.340855540799,0
"8682","2021-09-07",186,286.07612769633,288.092679888008,0
"8683","2021-09-08",186,286.508853286635,288.216677146057,0
"8684","2021-09-09",186,285.084931241425,286.703717323394,0
"8685","2021-09-10",186,283.71409922097,285.603331671381,0
"8686","2021-09-11",186,285.735852289912,287.221552134633,0
"8687","2021-09-12",186,285.565136715527,287.270683903549,0
"8688","2021-09-13",186,284.797428007986,286.651543798228,0
"8689","2021-09-14",186,284.96668431643,286.847490196959,0
"8690","2021-09-15",186,284.967326680421,286.962001258464,0
"8691","2021-09-16",186,282.234877003979,284.32516949163,0
"8692","2021-09-17",186,284.139399039754,286.135404855539,0
"8693","2021-09-18",186,279.674593611295,282.065728776483,0
"8694","2021-09-19",186,280.662411459669,282.826697487321,0
"8695","2021-09-20",186,279.803511369147,281.606641202485,0
"8696","2021-09-21",186,279.799803857587,281.703404501744,0
"8697","2021-09-22",186,281.316166725964,283.332465337176,0
"8698","2021-09-23",186,281.934846664023,283.743232536363,0
"8699","2021-09-24",186,282.804064955225,284.704608757524,0
"8700","2021-09-25",186,283.413289043425,285.092385379431,0
"8701","2021-09-26",186,281.956221228082,284.148754093818,0
"8702","2021-09-27",186,282.370008585334,284.407381971204,0
"8703","2021-09-28",186,283.244787284339,285.141936593903,0
"8704","2021-09-29",186,279.687529719153,282.6707231807,0
"8705","2021-09-30",186,279.640693306735,282.255787835946,0
