"site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"Argentière",2,32,"ARG_1620","a",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",117679,"Rhododendron ferrugineum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",79783,"Acer pseudoplatanus","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",80988,"Ajuga pyramidalis","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",86101,"Blechnum spicant","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",102925,"Homogyne alpina","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",106838,"Luzula lutea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",106839,"Luzula luzulina","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",117679,"Rhododendron ferrugineum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","b",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",80591,"Agrostis capillaris","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",80988,"Ajuga pyramidalis","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",82914,"Anthoxanthum alpinum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",86101,"Blechnum spicant","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",98512,"Festuca rubra","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",101953,"Hieracium exilentum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",102106,"Hieracium lachenalii","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",109366,"Nardus stricta","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",718390,"Pilosella peleteriana subsp. peleteriana","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",117679,"Rhododendron ferrugineum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","c",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",104528,"Knautia dipsacifolia","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",106846,"Luzula nivea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",114589,"Polygala serpyllifolia","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
