"","codeplot","Tmean","Pmean","Rveg","Diam_mean","PRCTMOmean","pHmean","Cmean","Nmean","PHOSmean","NAGmean","LAPmean","AGmean","CBmean","BGmean","XYLmean","Milieu","X_L93","Y_L93"
"12","VCHA_3160",271.499426171923,0.674293300171192,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,952519.424147,6409154.22769
"13","ARG_1420",279.78979163838,2.73334079371072,26,28.5628571428571,21.3829839425237,4.05666666666667,10.4774649143219,0.388902677843968,5920.92666666667,634.903333333333,92.0033333333333,50.43,116.83,895.32,378.853333333333,1,1004705.50295,6550296.53253
"14","ARG_1620",278.9496663617,2.77664786057264,39,28.4953488372093,25.7437512552135,4.15666666666667,13.1574578285217,0.476251358787218,6223.39666666667,1123.70333333333,115.718333333333,135.388333333333,298.618333333333,1881.51666666667,472.478333333333,1,1004900.53643,6550484.06023
"15","ARG_1790",277.955655368903,2.36594739437327,38,35.2074074074074,33.5716120594704,4.11166666666667,17.088995774587,0.720527067780492,9265.60666666667,859.89,127.341666666667,60.5933333333333,84.965,1100.60166666667,541.385,0,1005186.51245,6550607.25872
"16","ARG_2000",277.081492336526,2.04225414344066,47,NA,52.6637478041639,4.05833333333333,26.8359290758768,1.01268882552782,12651.94,759.48160206,166.656666666667,87.645,0,628.486666666667,1186.80833333333,0,1005537.14185,6550669.60592
"17","ARG_2230",275.983134405034,2.04225414344066,75,NA,20.9426266948782,4.38333333333333,11.4281119619097,0.588682958057948,11317.5616666667,651.075383316667,163.7,33.9366666666667,214.286666666667,316.258333333333,1204.48333333333,0,1006146.70699,6550371.29957
"18","ARG_2400",275.011757561988,NA,78,NA,21.30144122944,4.36166666666667,9.9863882064819,0.596310570836067,8916.11333333333,549.221042683333,204.738333333333,10.26,195.74,340.561666666667,1218.10833333333,0,1006190.00078,6550578.33812
"19","ARM_1520",279.361791897196,2.80878891021667,81,NA,23.7946496487513,7.21333333333333,11.37699842453,0.962311714887617,3426.57166666667,488.413333333333,176.238333333333,52.7066666666667,307.2,1166.17833333333,205.225,0,950927.546785,6507770.8787
"20","ARM_1750",278.690658361404,2.33953701857693,56,NA,9.97925458394366,5.45833333333333,4.41824650764465,0.364470844467481,3404.49333333333,275.16,122.446666666667,36.1166666666667,190.968333333333,738.266666666667,298.493333333333,0,951561.855137,6508062.60409
"21","ARM_1980",277.605384083588,1.73773239463719,80,NA,13.3045303915266,6.47666666666667,6.25853411356607,0.443509598573049,2534.97333333333,250.001666666667,113.368333333333,23.6816666666667,132.485,642.536666666667,141.22,0,951892.982421,6508371.75336
"22","ARM_2140",276.837654822649,1.73773239463719,55,NA,13.027502353333,4.84333333333333,5.24633367856343,0.371132890383402,3632.47666666667,352.225,127.996666666667,42.56,313.593333333333,1034.465,645.048333333333,0,952123.383087,6508278.44492
"23","VAL_1860",278.071545929891,1.92416512944213,65,NA,12.9962985292933,5.94666666666667,5.48949548176356,0.493412937436785,4412.75833333333,710.501666666667,395.683333333333,72.07,518.91,1889.36333333333,413.573333333333,0,968137.147129,6452484.97555
"24","VAL_2050",277.051199077351,1.48455600294993,80,NA,19.2715333864532,5.71333333333333,8.68847195307412,0.685873245199521,7036.20166666667,1063.145,427.098333333333,80.3066666666667,651.691666666667,2512.85333333333,635.816666666667,0,967710.005239,6452994.94205
"25","VAL_2250",275.914120656607,1.48455600294993,85,NA,18.995123247637,5.725,8.94726475079852,0.737560749053954,8399.38833333333,1343.43166666667,444.831666666667,125.018333333333,893.565,3231.76666666667,839.11,0,967289.845098,6453256.8509
"26","VAL_2450",274.693287653473,1.35952607486875,77,NA,22.403501907964,5.35166666666667,10.6094981829325,0.728824764490127,9297.21333333333,1017.725,350.318333333333,31.85,460.768333333333,2277.41333333333,635.505,0,966753.690701,6453484.05403
"27","VAL_2710",273.183611522661,1.17843611492217,63,NA,8.5349666973293,5.83333333333333,3.75412133761814,0.319871008396149,3500.20166666667,663.708333333333,226.106666666667,52.8716666666667,496.281666666667,1947.08333333333,392.678333333333,0,965947.997149,6453882.82316
"28","PEC_0962",281.435240114631,NA,3,22.1575,26.9470670637847,6.745,13.3218473593394,0.678467457493146,3444.23,815.05,145.991666666667,51.4233333333333,88.4166666666667,916.891666666667,128.543333333333,1,950418.933085,6509868.09994
"29","PEC_1152",280.528634490852,3.12307808170762,16,48.9333333333333,30.4621094974729,6.46166666666667,16.2517442703247,0.750285973151524,3099.95166666667,475.246666666667,120.471666666667,36.1866666666667,76.765,654.03,85.72,1,950649.534447,6509688.55558
"30","PEC_1375",279.773307901864,2.85888529348259,18,29.1740740740741,42.8204048693883,6.65833333333333,21.3973536491393,0.964673101902006,4396.34333333333,908.863333333333,161.38,102.405,276.286666666667,1587.99333333333,184.748333333333,1,950692.709276,6509390.78311
"31","PEC_1578",279.092747204616,2.85888529348259,52,24.5348837209302,24.0946437528183,4.93333333333333,12.0392529169718,0.549231131871541,4090.425,424.271666666667,116.363333333333,79.17,266.5,1059.00333333333,220.861666666667,1,950609.127937,6508935.68497
"32","MOU_1810",280.42787268468,NA,78,NA,18.2899419006667,6.31833333333333,8.43257180783333,0.771935016166667,2342.60138416667,481.038153883333,362.09076425,33.0200409216667,220.058532516667,969.271009033333,192.95966655,0,1019961.06599,6345679.71941
"33","MOU_1940",279.386322620524,NA,84,NA,24.3676379208333,6.19166666666667,10.9780766966667,0.942609061833333,2752.59221416667,490.6051907,329.6985477,54.5100661283333,261.62105515,1029.3845695,223.091700733333,0,1019109.80168,6345751.75076
"34","MOU_2160",277.578284291904,NA,78,NA,19.3943308283333,7.10666666666667,8.400581519,0.742437313166667,2956.35141866667,398.374990083333,194.42856705,26.0670325041667,202.819320083333,1007.65420945,170.14473025,0,1018150.2277,6346240.60737
"35","MOU_2355",276.116578774031,NA,73,NA,21.3231561775,5.845,9.40411377083333,0.9055502515,2764.1577355,721.111861216667,328.1540664,34.50510723,229.424074983333,1050.21796833333,238.663809983333,0,1017625.18889,6346462.22857
"36","MOU_2470",275.279344798227,NA,55,NA,21.8521482933333,5.86333333333333,9.49989779883333,0.9292875725,3487.4606855,571.567271516667,399.251594183333,39.9723365766667,304.157654116667,1396.50015798333,373.17001145,0,1017369.22041,6346829.24475
"37","MOU_2720",273.685827944964,NA,56,NA,16.264088018,7.265,8.00919254583333,0.601728697666667,1977.89557921667,505.32839425,298.414759766667,263.808283643333,242.36788395,1284.43345533333,347.6189994,0,1016873.32628,6346902.76811
"38","CAU_1220",281.483965725686,NA,14,21.840625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,444918.524089,6201148.98206
"39","CAU_1400",281.050541376076,NA,11,28.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,443974.460169,6200296.68367
"40","CAU_1630",280.308183118699,NA,53,26.4957575757576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,440832.041111,6199182.96558
"41","CAU_1800",279.715779318193,NA,51,27.4540540540541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,439361.033427,6196874.63298
"42","CAU_2020",278.622946331336,NA,50,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,437576.309835,6196191.49873
"43","CAU_2225",277.402085145349,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,437014.451519,6196018.3463
"44","CAU_2445",276.046470095443,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,436078.867286,6195810.46855
"45","CAU_2650",275.330061771833,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,434972.707716,6195847.01922
"46","BOU_1240",280.463653365458,NA,19,15.6934782608696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,943562.897922,6475891.84061
"47","BOU_1440",279.887566112965,NA,20,38.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,943567.588126,6475047.84227
"48","BOU_1620",279.158369893566,NA,37,7.22060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,943569.128257,6474224.89146
"49","BOU_1830",278.023959972807,NA,39,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,943814.946716,6473521.60036
"50","BOU_2000",277.148978841272,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,944204.758658,6473189.60795
"51","TAN_1420",280.028064114029,NA,39,35.065625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,982103.520971,6487583.91675
"52","TAN_1700",278.365722910785,NA,19,37.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,981421.046706,6486512.79915
"53","TAN_1890",277.237677077918,NA,35,9.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,981909.897222,6485916.34286
"54","TAN_2100",276.581009010065,NA,49,1.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,981985.524919,6485507.91111
"55","TAN_2300",275.492745802486,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,981727.185569,6484725.36369
"56","TAN_2480",274.344737307842,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,981873.595897,6484451.78797
