"","site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"23","Argentière",2,31,"ARG_1420","b",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"24","Argentière",2,31,"ARG_1420","b",90359,"Chaerophyllum villarsii","Garraud","Van Es","2017-07-01"
"25","Argentière",2,31,"ARG_1420","b",92606,"Corylus avellana","Garraud","Van Es","2017-07-01"
"26","Argentière",2,31,"ARG_1420","b",102106,"Hieracium lachenalii","Garraud","Van Es","2017-07-01"
"27","Argentière",2,31,"ARG_1420","b",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"28","Argentière",2,31,"ARG_1420","b",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"29","Argentière",2,31,"ARG_1420","b",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"30","Argentière",2,31,"ARG_1420","b",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"31","Argentière",2,31,"ARG_1420","b",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"32","Argentière",2,31,"ARG_1420","b",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"33","Argentière",2,31,"ARG_1420","b",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"34","Argentière",2,31,"ARG_1420","b",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"35","Argentière",2,31,"ARG_1420","c",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"36","Argentière",2,31,"ARG_1420","c",86101,"Blechnum spicant","Garraud","Van Es","2017-07-01"
"37","Argentière",2,31,"ARG_1420","c",102106,"Hieracium lachenalii","Garraud","Van Es","2017-07-01"
"38","Argentière",2,31,"ARG_1420","c",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"39","Argentière",2,31,"ARG_1420","c",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"40","Argentière",2,31,"ARG_1420","c",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"41","Argentière",2,31,"ARG_1420","c",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"42","Argentière",2,31,"ARG_1420","c",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"43","Argentière",2,31,"ARG_1420","c",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"44","Argentière",2,31,"ARG_1420","c",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"45","Argentière",2,31,"ARG_1420","a",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"46","Argentière",2,31,"ARG_1420","a",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"47","Argentière",2,31,"ARG_1420","a",90359,"Chaerophyllum villarsii","Garraud","Pache","2020-07-23"
"48","Argentière",2,31,"ARG_1420","a",193276,"Hieracium","Garraud","Pache","2020-07-23"
"49","Argentière",2,31,"ARG_1420","a",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
